transaction_id,timestamp,user_id,merchant_id,device_fingerprint,ip_address,payment_method,transaction_amount,currency,latitude,longitude,transaction_status,account_creation_timestamp,payment_attempt_number,transaction_type,is_fraud,fraud_scenario,historical_transaction_count,historical_avg_amount,is_first_transaction,time_since_last_transaction_minutes,transaction_velocity_5m,transaction_velocity_1h,device_user_count,ip_user_count,amount_vs_historical_avg,has_historical_amount,has_previous_location,amount_ratio_to_history,time_since_previous_transaction,unique_devices_seen_before,unique_ips_seen_before,failed_attempt_velocity,geographic_distance_from_previous,geographic_velocity,account_age_seconds
42e69c15-6bab-2a05-d04b-777f984eab47,2024-01-01T00:00:59.565561+00:00,U_dcc3645f2b9e,M_0aff8196,D_478d365fc209cac4,15.253.139.26,upi,170.26,INR,19.099660,72.885355,success,2023-10-11T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,7084859.565561
d50611aa-d2de-7909-bb8a-9d08a541bb07,2024-01-01T00:11:40.389192+00:00,U_c3cb0c28474c,M_c2335b06,D_f33c4c369a690cad,213.175.219.250,credit_card,2621.08,INR,13.067427,80.360994,success,2023-10-24T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,5962300.389192
d01dcc67-a427-6689-94bf-52863830a7cf,2024-01-01T00:13:57.620811+00:00,U_b184d1fc8991,M_a920f146,D_9e91a71c7374ccbf,92.4.248.35,upi,1864.02,INR,12.945016,77.613099,success,2023-06-18T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,17021637.620811
a997a8c7-4199-ef94-3371-cb311999ab52,2024-01-01T00:18:35.632400+00:00,U_07b38e707ffd,M_e3557ffe,D_8e9a8e7293fca973,43.74.62.12,credit_card,86.58,INR,22.611078,88.394572,success,2023-12-30T00:00:00+00:00,4,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,173915.6324
03aa7c39-51a1-f175-4410-34ddc077aa28,2024-01-01T01:25:59.057655+00:00,U_8052c055c28c,M_d64c495b,D_0234eddf0fbd0e7f,165.85.247.240,wallet,1381.63,INR,26.897395,75.865483,failed,2023-08-11T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,12360359.057655
7c0b9fa5-04ad-e787-c8c6-a29dc620eb5f,2024-01-01T01:27:57.431448+00:00,U_de69c0761f8c,M_961af017,D_255ab787a292bd6c,91.96.124.126,credit_card,1744.76,INR,23.319522,77.430699,success,2023-08-13T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,12187677.431448
d213be8e-28a0-fead-43b4-c7ba35e95c7f,2024-01-01T02:13:12.090892+00:00,U_09fccdac179e,M_195bc096,D_1d8eddbcb45c25af,82.226.74.43,upi,1547.66,INR,26.967789,75.729370,success,2023-04-04T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,23508792.090892
98b28ca8-eabd-7c89-5639-a1969d7652ce,2024-01-01T02:25:13.088631+00:00,U_dfde4fbf3ff3,M_a7e84991,D_3c835dc0d9441fa5,103.30.84.98,netbanking,703.92,INR,28.638792,77.172429,success,2023-06-15T00:00:00+00:00,1,refund,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,17288713.088631
c3b73478-1566-1849-4d05-3204f961ff62,2024-01-01T02:31:05.218453+00:00,U_d4dd1b564353,M_2470c0cd,D_7b0ccad9eee13cae,7.98.204.85,netbanking,33386.76,INR,23.214170,77.373321,success,2023-03-13T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,25410665.218453
fd69f7a9-812f-8be9-b281-45cec757e71c,2024-01-01T02:52:28.336751+00:00,U_854002b02aa8,M_00b8d921,D_f127f7bd78623252,51.39.34.198,wallet,2426.62,INR,19.083997,72.890274,success,2023-10-01T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,7959148.336751
a1fe882d-4e09-bdb0-ddb9-3c0cbbc993c6,2024-01-01T02:54:14.396217+00:00,U_d7ee15bc6ecd,M_76628ff6,D_b0e28479a8f0d513,197.63.51.172,debit_card,1320.45,INR,17.364132,78.484166,failed,2023-04-04T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,23511254.396217
885389f6-76e5-b24b-912c-81cb61bd0061,2024-01-01T04:10:46.815956+00:00,U_d5016ada189a,M_83120665,D_6c2b5781c1a95ee2,158.95.222.162,wallet,242.64,INR,26.975183,75.764635,success,2023-05-08T00:00:00+00:00,1,topup,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,20578246.815956
6c3e2823-69fb-f5c0-afb0-eccebf24ef41,2024-01-01T04:33:28.887086+00:00,U_3b20b43ae4ba,M_6a6b77f8,D_50f15b8cb6bec014,126.167.235.131,debit_card,377.43,INR,23.296062,77.469364,pending,2023-04-10T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,22998808.887086
94dd71ed-1d73-6c6d-e230-b9df4359c3bf,2024-01-01T04:39:32.092841+00:00,U_823a0b12d6ba,M_321d2a7a,D_0699576dd288b06a,110.227.64.213,upi,1507.83,INR,19.185742,72.886162,success,2023-10-31T00:00:00+00:00,1,refund,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,5373572.092841
88e6988a-852f-74e1-b44c-9c387d336555,2024-01-01T05:19:16.289597+00:00,U_8cca89632e2e,M_c47c31f6,D_531c8812ff31950a,62.109.192.197,upi,63.53,INR,12.950957,77.651250,failed,2023-08-23T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,11337556.289597
46083c18-6459-ff5e-b421-1422bace96de,2024-01-01T06:00:04.359663+00:00,U_39057fc06151,M_5bd6ac09,D_2a6445d348e80f79,106.105.218.77,wallet,2237.96,INR,17.394651,78.487971,failed,2023-11-21T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,3564004.359663
78ba2686-823f-1ac1-fce2-34afef10c013,2024-01-01T06:35:34.632221+00:00,U_9fd609228b5f,M_f2d70179,D_15936f424d3129b3,91.82.213.216,upi,1357.97,INR,17.431577,78.496105,success,2024-01-30T12:41:02.174038+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,0.0
3865ab28-559c-37ae-d545-afe1f365d9d4,2024-01-01T06:46:34.116604+00:00,U_b93b770c1336,M_be3ccfac,D_2cb941fcd02c75f9,219.148.184.206,wallet,664.23,INR,22.591756,88.408849,success,2023-12-08T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,2097994.116604
7ab2dc32-0129-0085-568b-f54aec298eb4,2024-01-01T08:01:23.244586+00:00,U_99f75c762bcf,M_b5c2e83d,D_218d052048cc32c6,5.35.240.25,upi,1857.97,INR,19.047464,72.947744,success,2023-06-02T00:00:00+00:00,1,refund,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,18432083.244586
efc45eec-ac54-2b5d-8998-849cec6d9447,2024-01-01T09:25:34.033158+00:00,U_23d99d90c964,M_09cd2208,D_a8ae013ac6807bb4,34.165.178.150,wallet,1789.46,INR,23.303204,77.495367,success,2023-06-08T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,17918734.033158
8376fa25-f2b7-d783-3604-53913b757ed6,2024-01-01T09:54:03.137574+00:00,U_73b171e5cc56,M_4f3b4759,D_a47944b68f2ab4c2,72.51.47.96,upi,155.45,INR,17.376139,78.486094,success,2024-03-29T14:03:35.836082+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,0.0
9955a3e1-0852-8782-5ab3-f581f02645a4,2024-01-01T10:13:34.389058+00:00,U_1a57f9e4c5f8,M_b793c642,D_0bc572073e9aec86,99.76.91.239,credit_card,2250.55,INR,28.680298,77.080779,success,2024-01-04T16:16:02.930308+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,0.0
fd28d0ce-79f1-0a21-9cbf-be47215365f0,2024-01-01T10:44:10.822195+00:00,U_a53bc024d1a6,M_38f9e101,D_2d5972c6134a5a2f,145.229.165.222,debit_card,1364.0,INR,12.918690,77.539991,failed,2024-02-02T21:04:57.650335+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,0.0
39e9b2a9-588c-ce05-aad7-e7d35ce1d22a,2024-01-01T10:47:37.248191+00:00,U_35102852b474,M_531a8c16,D_faebcd19e5508ea2,38.148.21.74,wallet,1683.72,INR,26.913524,75.815740,success,2024-01-09T05:15:26.900210+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,0.0
d90d29a7-634d-1933-023d-d2589cefc14d,2024-01-01T11:11:31.914638+00:00,U_7622f59add20,M_83a73323,D_ad735097a0c4e637,1.220.40.237,debit_card,1618.87,INR,17.401443,78.492718,failed,2023-03-24T00:00:00+00:00,1,purchase,false,none,0,,true,,0,0,0,0,,false,false,,,0,0,0,,,24491491.914638
