transaction_id,timestamp,user_id,merchant_id,device_fingerprint,ip_address,payment_method,transaction_amount,currency,latitude,longitude,transaction_status,account_creation_timestamp,payment_attempt_number,transaction_type,is_first_transaction,has_historical_amount,has_previous_location,historical_transaction_count,historical_avg_amount,amount_ratio_to_history,transaction_velocity_5m,transaction_velocity_1h,time_since_previous_transaction,unique_devices_seen_before,unique_ips_seen_before,device_user_count,ip_user_count,failed_attempt_velocity,geographic_distance_from_previous,geographic_velocity,account_age_seconds,is_fraud
42e69c15-6bab-2a05-d04b-777f984eab47,2024-01-01T00:00:59.565561+00:00,U_dcc3645f2b9e,M_0aff8196,D_478d365fc209cac4,15.253.139.26,upi,170.26,INR,19.09966,72.885355,success,2023-10-11T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,7084859.565561,false
d50611aa-d2de-7909-bb8a-9d08a541bb07,2024-01-01T00:11:40.389192+00:00,U_c3cb0c28474c,M_c2335b06,D_f33c4c369a690cad,213.175.219.250,credit_card,2621.08,INR,13.067427,80.360994,success,2023-10-24T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,5962300.389192,false
d01dcc67-a427-6689-94bf-52863830a7cf,2024-01-01T00:13:57.620811+00:00,U_b184d1fc8991,M_a920f146,D_9e91a71c7374ccbf,92.4.248.35,upi,1864.02,INR,12.945016,77.613099,success,2023-06-18T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,17021637.620811,false
a997a8c7-4199-ef94-3371-cb311999ab52,2024-01-01T00:18:35.632400+00:00,U_07b38e707ffd,M_e3557ffe,D_8e9a8e7293fca973,43.74.62.12,credit_card,86.58,INR,22.611078,88.394572,success,2023-12-30T00:00:00+00:00,4,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,173915.6324,false
03aa7c39-51a1-f175-4410-34ddc077aa28,2024-01-01T01:25:59.057655+00:00,U_8052c055c28c,M_d64c495b,D_0234eddf0fbd0e7f,165.85.247.240,wallet,1381.63,INR,26.897395,75.865483,failed,2023-08-11T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,12360359.057655,false
7c0b9fa5-04ad-e787-c8c6-a29dc620eb5f,2024-01-01T01:27:57.431448+00:00,U_de69c0761f8c,M_961af017,D_255ab787a292bd6c,91.96.124.126,credit_card,1744.76,INR,23.319522,77.430699,success,2023-08-13T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,12187677.431448,false
d213be8e-28a0-fead-43b4-c7ba35e95c7f,2024-01-01T02:13:12.090892+00:00,U_09fccdac179e,M_195bc096,D_1d8eddbcb45c25af,82.226.74.43,upi,1547.66,INR,26.967789,75.72937,success,2023-04-04T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,23508792.090892,false
98b28ca8-eabd-7c89-5639-a1969d7652ce,2024-01-01T02:25:13.088631+00:00,U_dfde4fbf3ff3,M_a7e84991,D_3c835dc0d9441fa5,103.30.84.98,netbanking,703.92,INR,28.638792,77.172429,success,2023-06-15T00:00:00+00:00,1,refund,true,false,false,0,,,0,0,,0,0,0,0,0,,,17288713.088631,false
c3b73478-1566-1849-4d05-3204f961ff62,2024-01-01T02:31:05.218453+00:00,U_d4dd1b564353,M_2470c0cd,D_7b0ccad9eee13cae,7.98.204.85,netbanking,33386.76,INR,23.21417,77.373321,success,2023-03-13T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,25410665.218453,false
fd69f7a9-812f-8be9-b281-45cec757e71c,2024-01-01T02:52:28.336751+00:00,U_854002b02aa8,M_00b8d921,D_f127f7bd78623252,51.39.34.198,wallet,2426.62,INR,19.083997,72.890274,success,2023-10-01T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,7959148.336751,false
a1fe882d-4e09-bdb0-ddb9-3c0cbbc993c6,2024-01-01T02:54:14.396217+00:00,U_d7ee15bc6ecd,M_76628ff6,D_b0e28479a8f0d513,197.63.51.172,debit_card,1320.45,INR,17.364132,78.484166,failed,2023-04-04T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,23511254.396217,false
885389f6-76e5-b24b-912c-81cb61bd0061,2024-01-01T04:10:46.815956+00:00,U_d5016ada189a,M_83120665,D_6c2b5781c1a95ee2,158.95.222.162,wallet,242.64,INR,26.975183,75.764635,success,2023-05-08T00:00:00+00:00,1,topup,true,false,false,0,,,0,0,,0,0,0,0,0,,,20578246.815956,false
6c3e2823-69fb-f5c0-afb0-eccebf24ef41,2024-01-01T04:33:28.887086+00:00,U_3b20b43ae4ba,M_6a6b77f8,D_50f15b8cb6bec014,126.167.235.131,debit_card,377.43,INR,23.296062,77.469364,pending,2023-04-10T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,22998808.887086,false
94dd71ed-1d73-6c6d-e230-b9df4359c3bf,2024-01-01T04:39:32.092841+00:00,U_823a0b12d6ba,M_321d2a7a,D_0699576dd288b06a,110.227.64.213,upi,1507.83,INR,19.185742,72.886162,success,2023-10-31T00:00:00+00:00,1,refund,true,false,false,0,,,0,0,,0,0,0,0,0,,,5373572.092841,false
88e6988a-852f-74e1-b44c-9c387d336555,2024-01-01T05:19:16.289597+00:00,U_8cca89632e2e,M_c47c31f6,D_531c8812ff31950a,62.109.192.197,upi,63.53,INR,12.950957,77.65125,failed,2023-08-23T00:00:00+00:00,1,purchase,true,false,false,0,,,0,0,,0,0,0,0,0,,,11337556.289597,false
